blockname,event_id_ttl,event_id_char,event_ts,event_number
2022_06_10_abb12,PC0,lick,231.7862502,4
2022_06_10_abb12,PC0,lick,231.9409152,5
2022_06_10_abb12,PC0,lick,232.0372531,6
2022_06_10_abb12,PC0,lick,232.1919181,7
2022_06_10_abb12,PC0,lick,232.288256,8
2022_06_10_abb12,PC0,lick,232.4547174,9
2022_06_10_abb12,PC0,lick,232.5476147,10
2022_06_10_abb12,PC0,lick,232.7094886,11
2022_06_10_abb12,PC0,lick,232.8138547,12
2022_06_10_abb12,PC0,lick,232.9532826,13
2022_06_10_abb12,PC0,lick,232.98048,14
2022_06_10_abb12,PC0,lick,233.0804224,15
2022_06_10_abb12,PC0,lick,233.2196864,16
2022_06_10_abb12,PC0,lick,233.3473178,17
2022_06_10_abb12,PC0,lick,233.4903501,18
2022_06_10_abb12,PC0,lick,233.6297779,19
2022_06_10_abb12,PC0,lick,233.7610138,20
2022_06_10_abb12,PC0,lick,233.9035546,21
2022_06_10_abb12,PC0,lick,234.0429824,22
2022_06_10_abb12,PC0,lick,234.1858509,23
2022_06_10_abb12,PC0,lick,243.1611699,24
2022_06_10_abb12,PC0,lick,243.377111,25
2022_06_10_abb12,PC0,lick,243.4968781,26
2022_06_10_abb12,PC0,lick,243.6053402,27
2022_06_10_abb12,PC0,lick,243.7131469,28
2022_06_10_abb12,PC0,lick,243.8212813,29
2022_06_10_abb12,PC0,lick,243.9490765,30
2022_06_10_abb12,PC0,lick,244.0690074,31
2022_06_10_abb12,PC0,lick,244.1732096,32
2022_06_10_abb12,PC0,lick,244.296745,33
2022_06_10_abb12,PC0,lick,244.4086477,34
2022_06_10_abb12,PC0,lick,244.5249741,35
2022_06_10_abb12,PC0,lick,244.6485094,36
2022_06_10_abb12,PC0,lick,244.7720448,37
2022_06_10_abb12,PC0,lick,244.8995123,38
2022_06_10_abb12,PC0,lick,245.0115789,39
2022_06_10_abb12,PC0,lick,245.1316736,40
2022_06_10_abb12,PC0,lick,245.2589773,41
2022_06_10_abb12,PC0,lick,245.3789082,42
2022_06_10_abb12,PC0,lick,245.5178445,43
2022_06_10_abb12,PC0,lick,245.6451482,44
2022_06_10_abb12,PC0,lick,245.9045069,45
2022_06_10_abb12,PC0,lick,256.1795686,46
2022_06_10_abb12,PC0,lick,256.523305,47
2022_06_10_abb12,PC0,lick,256.6511002,48
2022_06_10_abb12,PC0,lick,256.7747994,49
2022_06_10_abb12,PC0,lick,256.8709734,50
2022_06_10_abb12,PC0,lick,257.0215424,51
2022_06_10_abb12,PC0,lick,257.1414733,52
2022_06_10_abb12,PC0,lick,257.2419072,53
2022_06_10_abb12,PC0,lick,257.3695386,54
2022_06_10_abb12,PC0,lick,257.4932378,55
2022_06_10_abb12,PC0,lick,257.6243098,56
2022_06_10_abb12,PC0,lick,257.7442406,57
2022_06_10_abb12,PC0,lick,257.8753126,58
2022_06_10_abb12,PC0,lick,258.0104806,59
2022_06_10_abb12,PC0,lick,258.1341798,60
2022_06_10_abb12,PC0,lick,258.257879,61
2022_06_10_abb12,PC0,lick,258.3851827,62
2022_06_10_abb12,PC0,lick,258.524119,63
2022_06_10_abb12,PC0,lick,258.6520781,64
2022_06_10_abb12,PC0,lick,258.7795456,65
2022_06_10_abb12,PC0,lick,271.2916787,66
2022_06_10_abb12,PC0,lick,271.4152141,67
2022_06_10_abb12,PC0,lick,271.5387494,68
2022_06_10_abb12,PC0,lick,271.6545843,69
2022_06_10_abb12,PC0,lick,271.7627187,70
2022_06_10_abb12,PC0,lick,271.8631526,71
2022_06_10_abb12,PC0,lick,271.986688,72
2022_06_10_abb12,PC0,lick,272.4924621,73
2022_06_10_abb12,PC0,lick,272.6392627,74
2022_06_10_abb12,PC0,lick,272.7359283,75
2022_06_10_abb12,PC0,lick,272.890921,76
2022_06_10_abb12,PC0,lick,272.9833267,77
2022_06_10_abb12,PC0,lick,273.1147264,78
2022_06_10_abb12,PC0,lick,273.2341658,79
